type,words,l1_sets,l1_ways,l2_sets,l2_ways,ports,latency,exec_time,exec_time_err,power,power_err,lut,reg,bram,dsp
N,16,1,1,2,16,8,16,18.508117198944092,0.0119501345188185,4.620424466572266,0.004642768119069173,31522,46499,76,24
N,32,1,1,2,16,2,1,7.803357696533203,0.007035572767954295,4.582454054963295,0.013418318603029979,21060,39518,37,6
N,32,1,1,2,16,2,6,7.707262706756592,0.008469939744305884,4.5795107500439,0.005312888397948252,20490,38145,37,6
N,32,1,1,2,16,2,11,7.40471453666687,0.013495263277607068,4.59328531740326,0.015596243099919927,20391,38111,37,6
N,32,1,1,2,16,2,16,7.37314190864563,0.0036125840280037676,4.579848310242152,0.008000547929003309,20025,38125,37,6
N,32,1,1,2,16,4,1,7.450136661529541,0.010361868959151584,4.64452747767099,0.009824758627116757,25972,44626,66,12
N,32,1,1,2,16,4,6,7.045463418960571,0.003873055658463725,4.649793986701017,0.006073604480630468,25306,45877,66,12
N,32,1,1,2,16,4,11,7.032537937164307,0.005817680518862148,4.665915722904072,0.005721999604033884,25725,41636,124,12
N,32,1,1,2,16,4,16,6.999544954299926,0.006123954339241185,4.660535617205032,0.008279886470582724,24583,41633,124,12
N,32,1,1,2,16,8,1,11.161115837097167,0.00806084543467515,4.703910561559405,0.0059636530563398375,37566,57741,124,24
N,32,1,1,2,16,8,6,10.884999656677246,0.006183836574869211,4.719782898002268,0.006653309541534635,34335,52855,211,24
N,32,1,1,2,16,8,11,10.671127605438233,0.0071547750347503705,4.729261778102524,0.009017976284250188,37036,52979,211,24
N,32,1,1,2,16,8,16,10.414014720916748,0.009211783734191415,4.719817806553318,0.009477778431299466,33929,52913,211,24
O,32,1,1,1,16,1,1,47.14863886833191,0.01567175445396306,4.541467890568099,0.004737847028637637,21410,36109,8,3
O,32,1,1,1,16,1,3,45.45166597366333,0.02866858663862522,4.519335208779608,0.004830686841756852,18967,36044,8,3
O,32,1,1,1,16,1,5,44.06254715919495,0.017650744718000308,4.5313131407747,0.0016967302930016707,19046,36126,8,3
O,32,1,1,1,16,1,7,42.70851655006409,0.011364558395989204,4.556501439349712,0.0012087820813715335,23120,36247,8,3
O,32,1,1,1,16,1,9,41.88603978157043,0.01550450521853274,4.551087723174604,0.0015842906251800717,23089,36251,8,3
O,32,1,1,1,16,1,11,41.418099308013915,0.026728806692864766,4.562086282023589,0.004171518620055524,22570,36293,8,3
O,32,1,1,1,16,1,13,41.2012544631958,0.03247829504874236,4.558197420585275,0.0020153425458844347,23097,36347,8,3
O,32,1,1,1,16,1,15,40.96504230499268,0.01779980697251019,4.560310724813359,0.0028829808935700516,22578,36357,8,3
O,32,1,1,1,16,1,17,39.65140523910522,0.017650841156949666,4.569201808512813,0.002020981376473383,23119,36369,8,3
O,32,1,1,1,16,1,19,39.63797087669373,0.010960020709985639,4.570376565329254,0.001292909596559363,23126,36385,8,3
O,32,1,1,1,16,2,1,6.588647937774658,0.01688699782274043,4.56426603064873,0.03496685567216884,29796,47524,8,6
O,32,1,1,1,16,2,3,6.562971782684326,0.006366041494757721,4.531668890988255,0.015528235276074377,26228,45545,8,6
O,32,1,1,1,16,2,5,6.536240816116333,0.003692434917113554,4.55180909170125,0.012090728958727752,29207,45833,8,6
O,32,1,1,1,16,2,7,6.519642066955567,0.005069728966848662,4.548279505292124,0.007323239835236371,28048,45818,8,6
O,32,1,1,1,16,2,9,6.4884727001190186,0.006984973145811511,4.556273215795933,0.006470339401884971,29078,45867,8,6
O,32,1,1,1,16,2,11,6.46713547706604,0.00569320288738178,4.556710138845787,0.0065319167674546905,29250,45883,8,6
O,32,1,1,1,16,2,13,6.4425435066223145,0.00417679004731779,4.562653571713765,0.011787961504154863,28120,45867,8,6
O,32,1,1,1,16,2,15,6.4094147205352785,0.005938801894755177,4.561602774115073,0.005156429749953659,28541,45877,8,6
O,32,1,1,1,16,2,17,6.38583664894104,0.004111427602585956,4.574529393597804,0.019689332044131876,27449,43868,37,6
O,32,1,1,1,16,2,19,6.380347347259521,0.009222090957379253,4.558047764110623,0.010957303985393333,23605,43798,37,6
O,32,1,1,1,16,4,1,3.85431113243103,0.005325935938494476,4.649603998963573,0.02528189363665399,35859,57129,8,12
O,32,1,1,1,16,4,3,3.8401655673980715,0.005634271820782148,4.659439532837715,0.011724245887612141,36710,58506,8,12
O,32,1,1,1,16,4,5,3.823809099197388,0.00654506999029211,4.662944214222132,0.03214279620517397,35850,58811,8,12
O,32,1,1,1,16,4,7,3.8147818565368654,0.007565864528039787,4.658138475745714,0.007754353981341419,36464,58859,8,12
O,32,1,1,1,16,4,9,3.7988750457763674,0.008705247570195694,4.649086558608238,0.02581424714029118,33363,54772,66,12
O,32,1,1,1,16,4,11,3.793131637573242,0.0032150758224190543,4.67073380807212,0.014745111905529473,35259,54878,66,12
O,32,1,1,1,16,4,13,3.7879025459289553,0.008368085271775391,4.653203192636764,0.02294044698793793,33784,54861,66,12
O,32,1,1,1,16,4,15,3.788347053527832,0.006730484814115278,4.678611881613107,0.019887615981025192,35243,54914,66,12
O,32,1,1,1,16,4,17,3.761233949661255,0.007881873959242858,4.6835953889552435,0.020189125400907795,35444,54981,66,12
O,32,1,1,1,16,4,19,3.7594877243041993,0.006313762196878735,4.6796576571834585,0.01009970099841604,35986,55028,66,12
O,32,1,1,1,16,8,1,2.5104472160339357,0.004727939809061417,4.751800551516619,0.016035625326683314,57532,80789,8,24
O,32,1,1,1,16,8,3,2.4981307983398438,0.01401483375526215,4.749085024391262,0.0028783751580275315,56852,81869,8,24
O,32,1,1,1,16,8,5,2.5032896518707277,0.01436483200345673,4.785441831709291,0.035875646738802,52987,74242,124,24
O,32,1,1,1,16,8,7,2.480873775482178,0.004372344738802764,4.770719772466519,0.002472354605907039,51579,74038,124,24
O,32,1,1,1,16,8,9,2.4845059871673585,0.012273536092287532,4.775034774185106,0.011043013753064827,54017,74281,124,24
O,32,1,1,1,16,8,11,2.4729892730712892,0.008711180255901046,4.766511515201638,0.0019298295875550117,50857,74142,124,24
O,32,1,1,1,16,8,13,2.470953369140625,0.005861013166479319,4.776492167722225,0.01644702665424887,54864,74339,124,24
O,32,1,1,1,16,8,15,2.4618908405303954,0.0066113233558975975,4.783020099128369,0.01799550826807181,54018,74476,124,24
O,32,1,1,1,16,8,17,2.464338445663452,0.004823136248035795,4.777261208156983,0.0023368572383307925,55257,74387,132,24
O,32,1,1,1,16,8,19,2.4471374988555907,0.004744030906104099,4.7794402826636615,0.007951405222748823,52731,74536,132,24
O,64,1,1,1,16,1,1,31.283175659179687,0.03384423199584609,4.56692657378048,0.003958836980760062,25921,47408,8,3
O,64,1,1,1,16,1,6,29.253365421295165,0.013569294945491119,4.589800049188012,0.0043689965765256,28720,47601,8,3
O,64,1,1,1,16,1,11,28.53539113998413,0.013177839743584687,4.589431976354929,0.0017846182640700108,28720,47577,8,3
O,64,1,1,1,16,1,16,27.589517211914064,0.01461546704607613,4.60603035983501,0.0010188359572001172,29818,47675,8,3
O,64,1,1,1,16,2,1,6.066685724258423,0.007285908652896186,4.64662852277913,0.008843293922288463,37992,63848,8,6
O,64,1,1,1,16,2,6,6.038123035430909,0.00424493370971153,4.669994412978792,0.01955087152624279,37061,60200,8,6
O,64,1,1,1,16,2,11,6.006160831451416,0.005290197254561122,4.658658714751764,0.011628286225589929,35586,60149,8,6
O,64,1,1,1,16,2,16,5.974694299697876,0.005057999351717429,4.671548699929898,0.015903243442448513,34829,56155,65,6
O,64,1,1,1,16,4,1,3.3838748931884766,0.006333434889951439,4.754031634346706,0.003456017555116859,52122,85004,8,12
O,64,1,1,1,16,4,6,3.354120397567749,0.006370267222420676,4.761028820802913,0.00531405057202264,50771,85697,8,12
O,64,1,1,1,16,4,11,3.3386857509613037,0.0026060957553692256,4.770961529883901,0.0027738069600209323,47232,77555,122,12
O,64,1,1,1,16,4,16,3.319156455993652,0.008402113732905829,4.780856291198576,0.020546453408301926,45758,77645,122,12
O,16,1,1,2,16,1,1,13.003120136260986,0.006000852172782618,4.487448232921148,0.007222973274207289,20036,30782,8,3
O,16,1,1,2,16,1,6,12.813087558746338,0.011299504481100658,4.473472502956912,0.006346800387577042,17046,30827,8,3
O,16,1,1,2,16,1,11,12.591001844406128,0.0038758967523861375,4.497022222103079,0.008509084493242239,20417,30883,8,3
O,16,1,1,2,16,1,16,12.260617113113403,0.008120576057910405,4.492911547925951,0.005451052942576858,20395,30952,8,3
O,16,1,1,2,16,2,1,7.544156503677368,0.004331245175148442,4.513089821955012,0.0028411761395834294,21535,38805,8,6
O,16,1,1,2,16,2,6,7.4429973602294925,0.004534990171835433,4.540926014744609,0.016639029234946184,24048,38099,8,6
O,16,1,1,2,16,2,11,7.379228353500366,0.005517166756846515,4.5219795552730195,0.008835636828409063,21605,38028,8,6
O,16,1,1,2,16,2,16,7.1501405239105225,0.009077572526974866,4.531565837987358,0.013865223117693193,22882,38079,8,6
O,16,1,1,2,16,4,1,4.9057048797607425,0.0067055537975006475,4.576235120306315,0.011493601651552261,27405,47433,8,12
O,16,1,1,2,16,4,6,4.765707302093506,0.0046060571211840404,4.592923472675589,0.017143599309124333,29278,48097,8,12
O,16,1,1,2,16,4,11,4.712417268753052,0.008989659998197144,4.603037291607097,0.012860439601975807,30366,48152,8,12
O,16,1,1,2,16,4,16,4.625654077529907,0.007161520786423993,4.608851933247408,0.00788311676485592,31516,46160,38,12
O,16,1,1,2,16,8,1,3.4532941341400147,0.007667500599887263,4.68557383786415,0.016572941450837403,43590,63311,8,24
O,16,1,1,2,16,8,6,3.415516185760498,0.005416716497469335,4.710032296639012,0.015229458026826905,47052,64537,8,24
O,16,1,1,2,16,8,11,3.3774132251739504,0.002777498041118712,4.703950939196839,0.012856092637102055,45698,60576,68,24
O,16,1,1,2,16,8,16,3.351155662536621,0.009324604843097137,4.710914770418338,0.016095222258425666,43780,60445,76,24
O,32,1,1,2,16,1,1,11.984900712966919,0.007497749248759936,4.524426481071063,0.007503875170422614,21315,35297,22.5,3
O,32,1,1,2,16,1,6,11.852784729003906,0.005610835616230881,4.533457494188585,0.0064066113984626956,21390,35540,22.5,3
O,32,1,1,2,16,1,11,11.779178094863891,0.0043296956501108555,4.539777811795228,0.007630416310853711,21944,35562,22.5,3
O,32,1,1,2,16,1,16,11.616674327850342,0.006745171997584577,4.549445146174622,0.013848818770363466,21970,35641,22.5,3
O,32,1,1,2,16,2,1,6.57345175743103,0.006842618877461717,4.631221017684868,0.011220174293891697,27845,44937,37,6
O,32,1,1,2,16,2,6,6.526457214355469,0.004502204002412229,4.625399431688112,0.008337298432806105,27707,43322,37,6
O,32,1,1,2,16,2,11,6.469113159179687,0.006025292710699892,4.631272931873971,0.009948215753730399,27777,43297,37,6
O,32,1,1,2,16,2,16,6.378530216217041,0.009182488026691162,4.6199761199848,0.00944753881689662,26231,43296,37,6
O,32,1,1,2,16,4,1,3.896497917175293,0.012990144865906855,4.728695613476845,0.015045658658032061,31922,56122,66,12
O,32,1,1,2,16,4,6,3.8125922679901123,0.006133411213060972,4.731218270264219,0.0033202602236747356,33540,56843,66,12
O,32,1,1,2,16,4,11,3.7907827377319334,0.009966825835926455,4.746625237373317,0.01564238737131602,31862,52681,124,12
O,32,1,1,2,16,4,16,3.7556598663330076,0.008210905741968165,4.749436127472977,0.010802744029061957,32803,52650,124,12
O,32,1,1,2,16,8,1,2.504244804382324,0.007818286217691154,4.885796012193817,0.0032405674989956653,51423,74679,124,24
O,32,1,1,2,16,8,6,2.4980530738830566,0.005110019638137648,4.880710209620634,0.002986328913003752,48863,69499,211,24
O,32,1,1,2,16,8,11,2.4770611763000487,0.0076171530126290885,4.877373720980265,0.0023617832096137392,48664,69587,211,24
O,32,1,1,2,16,8,16,2.4634858131408692,0.004561272901176961,4.883456555620652,0.0032971293819014486,54073,69558,211,24
