type,words,sets,ports,latency,exec_time,exec_time_err,power,power_err,lut,reg,bram,dsp,in_l2_reqs,in_l2_hits,in_l1_reqs,in_l1_hits
L1,32,2,4,16,6.99954,0.00612,4.66054,0.00828,24583,41633,124,12,8372224,98112,1069551616,1061179392
L1,32,2,8,1,11.16112,0.00806,4.70391,0.00596,37566,57741,124,24,16744448,228928,1069551616,1052807168
L1,32,2,8,6,10.885,0.00618,4.71978,0.00665,34335,52855,211,24,16744448,228928,1069551616,1052807168
L1,32,2,8,11,10.67113,0.00715,4.72926,0.00902,37036,52979,211,24,16744448,228928,1069551616,1052807168
L1,32,2,8,16,10.41401,0.00921,4.71982,0.00948,33929,52913,211,24,16744448,228928,1069551616,1052807168
L1opt,32,1,1,1,47.14864,0.01567,4.54147,0.00474,21410,36109,8,3,63719152,0,1069551616,1005832464
L1opt,32,1,1,3,45.45167,0.02867,4.51934,0.00483,18967,36044,8,3,63719152,0,1069551616,1005832464
L1opt,32,1,1,5,44.06255,0.01765,4.53131,0.0017,19046,36126,8,3,63719152,0,1069551616,1005832464
L1opt,32,1,1,7,42.70852,0.01136,4.5565,0.00121,23120,36247,8,3,63719152,0,1069551616,1005832464
L1opt,32,1,1,9,41.88604,0.0155,4.55109,0.00158,23089,36251,8,3,63719152,0,1069551616,1005832464
L1opt,32,1,1,11,41.4181,0.02673,4.56209,0.00417,22570,36293,8,3,63719152,0,1069551616,1005832464
L1opt,32,1,1,13,41.20125,0.03248,4.5582,0.00202,23097,36347,8,3,63719152,0,1069551616,1005832464
L1opt,32,1,1,15,40.96504,0.0178,4.56031,0.00288,22578,36357,8,3,63719152,0,1069551616,1005832464
L1opt,32,1,1,17,39.65141,0.01765,4.5692,0.00202,23119,36369,8,3,63719152,0,1069551616,1005832464
L1opt,32,1,1,19,39.63797,0.01096,4.57038,0.00129,23126,36385,8,3,63719152,0,1069551616,1005832464
L1opt,32,1,2,1,6.58865,0.01689,4.56427,0.03497,29796,47524,8,6,63719152,0,1069551616,1005832464
L1opt,32,1,2,3,6.56297,0.00637,4.53167,0.01553,26228,45545,8,6,63719152,0,1069551616,1005832464
L1opt,32,1,2,5,6.53624,0.00369,4.55181,0.01209,29207,45833,8,6,63719152,0,1069551616,1005832464
L1opt,32,1,2,7,6.51964,0.00507,4.54828,0.00732,28048,45818,8,6,63719152,0,1069551616,1005832464
L1opt,32,1,2,9,6.48847,0.00698,4.55627,0.00647,29078,45867,8,6,63719152,0,1069551616,1005832464
L1opt,32,1,2,11,6.46714,0.00569,4.55671,0.00653,29250,45883,8,6,63719152,0,1069551616,1005832464
L1opt,32,1,2,13,6.44254,0.00418,4.56265,0.01179,28120,45867,8,6,63719152,0,1069551616,1005832464
L1opt,32,1,2,15,6.40941,0.00594,4.5616,0.00516,28541,45877,8,6,63719152,0,1069551616,1005832464
L1opt,32,1,2,17,6.38584,0.00411,4.57453,0.01969,27449,43868,37,6,63719152,0,1069551616,1005832464
L1opt,32,1,2,19,6.38035,0.00922,4.55805,0.01096,23605,43798,37,6,63719152,0,1069551616,1005832464
L1opt,32,1,4,1,3.85431,0.00533,4.6496,0.02528,35859,57129,8,12,63719152,0,1069551616,1005832464
L1opt,32,1,4,3,3.84017,0.00563,4.65944,0.01172,36710,58506,8,12,63719152,0,1069551616,1005832464
L1opt,32,1,4,5,3.82381,0.00655,4.66294,0.03214,35850,58811,8,12,63719152,0,1069551616,1005832464
L1opt,32,1,4,7,3.81478,0.00757,4.65814,0.00775,36464,58859,8,12,63719152,0,1069551616,1005832464
L1opt,32,1,4,9,3.79888,0.00871,4.64909,0.02581,33363,54772,66,12,63719152,0,1069551616,1005832464
L1opt,32,1,4,11,3.79313,0.00322,4.67073,0.01475,35259,54878,66,12,63719152,0,1069551616,1005832464
L1opt,32,1,4,13,3.7879,0.00837,4.6532,0.02294,33784,54861,66,12,63719152,0,1069551616,1005832464
L1opt,32,1,4,15,3.78835,0.00673,4.67861,0.01989,35243,54914,66,12,63719152,0,1069551616,1005832464
L1opt,32,1,4,17,3.76123,0.00788,4.6836,0.02019,35444,54981,66,12,63719152,0,1069551616,1005832464
L1opt,32,1,4,19,3.75949,0.00631,4.67966,0.0101,35986,55028,66,12,63719152,0,1069551616,1005832464
L1opt,32,1,8,1,2.51045,0.00473,4.7518,0.01604,57532,80789,8,24,63719152,0,1069551616,1005832464
L1opt,32,1,8,3,2.49813,0.01401,4.74909,0.00288,56852,81869,8,24,63719152,0,1069551616,1005832464
L1opt,32,1,8,5,2.50329,0.01436,4.78544,0.03588,52987,74242,124,24,63719152,0,1069551616,1005832464
L1opt,32,1,8,7,2.48087,0.00437,4.77072,0.00247,51579,74038,124,24,63719152,0,1069551616,1005832464
L1opt,32,1,8,9,2.48451,0.01227,4.77503,0.01104,54017,74281,124,24,63719152,0,1069551616,1005832464
L1opt,32,1,8,11,2.47299,0.00871,4.76651,0.00193,50857,74142,124,24,63719152,0,1069551616,1005832464
L1opt,32,1,8,13,2.47095,0.00586,4.77649,0.01645,54864,74339,124,24,63719152,0,1069551616,1005832464
L1opt,32,1,8,15,2.46189,0.00661,4.78302,0.018,54018,74476,124,24,63719152,0,1069551616,1005832464
L1opt,32,1,8,17,2.46434,0.00482,4.77726,0.00234,55257,74387,132,24,63719152,0,1069551616,1005832464
L1opt,32,1,8,19,2.44714,0.00474,4.77944,0.00795,52731,74536,132,24,63719152,0,1069551616,1005832464
L1opt,64,1,1,1,31.28318,0.03384,4.56693,0.00396,25921,47408,8,3,1046528,0,1069551616,1068505088
L1opt,64,1,1,6,29.25337,0.01357,4.5898,0.00437,28720,47601,8,3,1046528,0,1069551616,1068505088
L1opt,64,1,1,11,28.53539,0.01318,4.58943,0.00178,28720,47577,8,3,1046528,0,1069551616,1068505088
L1opt,64,1,1,16,27.58952,0.01462,4.60603,0.00102,29818,47675,8,3,1046528,0,1069551616,1068505088
L1opt,64,1,2,1,6.06669,0.00729,4.64663,0.00884,37992,63848,8,6,1046528,0,1069551616,1068505088
L1opt,64,1,2,6,6.03812,0.00424,4.66999,0.01955,37061,60200,8,6,1046528,0,1069551616,1068505088
L1opt,64,1,2,11,6.00616,0.00529,4.65866,0.01163,35586,60149,8,6,1046528,0,1069551616,1068505088
L1opt,64,1,2,16,5.97469,0.00506,4.67155,0.0159,34829,56155,65,6,1046528,0,1069551616,1068505088
L1opt,64,1,4,1,3.38387,0.00633,4.75403,0.00346,52122,85004,8,12,1046528,0,1069551616,1068505088
L1opt,64,1,4,6,3.35412,0.00637,4.76103,0.00531,50771,85697,8,12,1046528,0,1069551616,1068505088
L1opt,64,1,4,11,3.33869,0.00261,4.77096,0.00277,47232,77555,122,12,1046528,0,1069551616,1068505088
L1opt,64,1,4,16,3.31916,0.0084,4.78086,0.02055,45758,77645,122,12,1046528,0,1069551616,1068505088
L1opt,16,2,1,1,13.00312,0.006,4.48745,0.00722,20036,30782,8,3,4186112,0,1069551616,1065365504
L1opt,16,2,1,6,12.81309,0.0113,4.47347,0.00635,17046,30827,8,3,4186112,0,1069551616,1065365504
L1opt,16,2,1,11,12.591,0.00388,4.49702,0.00851,20417,30883,8,3,4186112,0,1069551616,1065365504
L1opt,16,2,1,16,12.26062,0.00812,4.49291,0.00545,20395,30952,8,3,4186112,0,1069551616,1065365504
L1opt,16,2,2,1,7.54416,0.00433,4.51309,0.00284,21535,38805,8,6,4186112,0,1069551616,1065365504
L1opt,16,2,2,6,7.443,0.00453,4.54093,0.01664,24048,38099,8,6,4186112,0,1069551616,1065365504
L1opt,16,2,2,11,7.37923,0.00552,4.52198,0.00884,21605,38028,8,6,4186112,0,1069551616,1065365504
L1opt,16,2,2,16,7.15014,0.00908,4.53157,0.01387,22882,38079,8,6,4186112,0,1069551616,1065365504
L1opt,16,2,4,1,4.9057,0.00671,4.57624,0.01149,27405,47433,8,12,4186112,0,1069551616,1065365504
L1opt,16,2,4,6,4.76571,0.00461,4.59292,0.01714,29278,48097,8,12,4186112,0,1069551616,1065365504
L1opt,16,2,4,11,4.71242,0.00899,4.60304,0.01286,30366,48152,8,12,4186112,0,1069551616,1065365504
L1opt,16,2,4,16,4.62565,0.00716,4.60885,0.00788,31516,46160,38,12,4186112,0,1069551616,1065365504
L1opt,16,2,8,1,3.45329,0.00767,4.68557,0.01657,43590,63311,8,24,4186112,0,1069551616,1065365504
L1opt,16,2,8,6,3.41552,0.00542,4.71003,0.01523,47052,64537,8,24,4186112,0,1069551616,1065365504
L1opt,16,2,8,11,3.37741,0.00278,4.70395,0.01286,45698,60576,68,24,4186112,0,1069551616,1065365504
L1opt,16,2,8,16,3.35116,0.00932,4.71091,0.0161,43780,60445,76,24,4186112,0,1069551616,1065365504
L1opt,32,2,1,1,11.9849,0.0075,4.52443,0.0075,21315,35297,22.5,3,2093056,0,1069551616,1067458560
L1opt,32,2,1,6,11.85278,0.00561,4.53346,0.00641,21390,35540,22.5,3,2093056,0,1069551616,1067458560
L1opt,32,2,1,11,11.77918,0.00433,4.53978,0.00763,21944,35562,22.5,3,2093056,0,1069551616,1067458560
L1opt,32,2,1,16,11.61667,0.00675,4.54945,0.01385,21970,35641,22.5,3,2093056,0,1069551616,1067458560
L1opt,32,2,2,1,6.57345,0.00684,4.63122,0.01122,27845,44937,37,6,2093056,0,1069551616,1067458560
L1opt,32,2,2,6,6.52646,0.0045,4.6254,0.00834,27707,43322,37,6,2093056,0,1069551616,1067458560
L1opt,32,2,2,11,6.46911,0.00603,4.63127,0.00995,27777,43297,37,6,2093056,0,1069551616,1067458560
L1opt,32,2,2,16,6.37853,0.00918,4.61998,0.00945,26231,43296,37,6,2093056,0,1069551616,1067458560
L1opt,32,2,4,1,3.8965,0.01299,4.7287,0.01505,31922,56122,66,12,2093056,0,1069551616,1067458560
L1opt,32,2,4,6,3.81259,0.00613,4.73122,0.00332,33540,56843,66,12,2093056,0,1069551616,1067458560
L1opt,32,2,4,11,3.79078,0.00997,4.74663,0.01564,31862,52681,124,12,2093056,0,1069551616,1067458560
L1opt,32,2,4,16,3.75566,0.00821,4.74944,0.0108,32803,52650,124,12,2093056,0,1069551616,1067458560
L1opt,32,2,8,1,2.50424,0.00782,4.8858,0.00324,51423,74679,124,24,2093056,0,1069551616,1067458560
L1opt,32,2,8,6,2.49805,0.00511,4.88071,0.00299,48863,69499,211,24,2093056,0,1069551616,1067458560
L1opt,32,2,8,11,2.47706,0.00762,4.87737,0.00236,48664,69587,211,24,2093056,0,1069551616,1067458560
L1opt,32,2,8,16,2.46349,0.00456,4.88346,0.0033,54073,69558,211,24,2093056,0,1069551616,1067458560
