type,words,ports,latency,exec_time,exec_time_err,power,power_err,lut,reg,bram,dsp,a_l2_req,a_l2_hit,a_l1_req,a_l1_hit,b_l2_req,b_l2_hit,b_l1_req,b_l1_hit,c_l2_req,c_l2_hit
L1,64,1,11,2.74273,0.0076,4.60778,0.00533,47096,73658,36.5,3,2048,0,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
L1,64,1,13,2.74473,0.00754,4.61493,0.00702,47846,73820,36.5,3,2048,0,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
L1,64,1,15,2.74455,0.00665,4.60539,0.00395,49229,73606,36.5,3,2048,0,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
L1,64,1,17,2.74394,0.00459,4.60983,0.00138,48878,73690,36.5,3,2048,0,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
L1,64,1,19,2.74037,0.00765,4.60559,0.00343,49340,73813,36.5,3,2048,0,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
L1,64,2,1,2.20934,0.0061,4.62465,0.00284,58729,86121,65,6,4096,2048,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
L1,64,2,3,2.20055,0.00556,4.66466,0.01444,59028,80055,65,6,4096,2048,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
L1,64,2,5,2.21974,0.00489,4.65783,0.00337,57260,79997,65,6,4096,2048,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
L1,64,2,9,2.272,0.00545,4.65807,0.0043,57205,80129,65,6,4096,2048,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
L1,64,2,11,2.28648,0.00768,4.65489,0.00165,58891,80240,65,6,4096,2048,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
L1,64,2,13,2.31409,0.00603,4.66727,0.02178,55273,80262,65,6,4096,2048,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
L1,64,2,15,2.33389,0.00327,4.65739,0.00463,58142,80291,65,6,4096,2048,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
L1,64,2,17,2.3477,0.0042,4.68806,0.01863,53899,74049,178.5,6,4096,2048,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
L1,64,2,19,2.36778,0.00547,4.68216,0.0027,54475,74120,178.5,6,4096,2048,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
L1,64,4,3,1.86619,0.01076,4.67798,0.00851,63420,88768,122,12,8192,6144,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
L1opt,32,2,1,2.11983,0.00933,4.56097,0.00613,37336,67545,23.5,6,2048,0,134217728,134215680,2097152,0,67108864,65011712,1048576,1015808
L1opt,32,2,3,1.98258,0.007,4.58845,0.02023,36797,63439,23.5,6,2048,0,134217728,134215680,2097152,0,67108864,65011712,1048576,1015808
L1opt,32,2,5,1.99007,0.00371,4.58556,0.01408,37678,63457,23.5,6,2048,0,134217728,134215680,2097152,0,67108864,65011712,1048576,1015808
L1opt,32,2,7,2.00497,0.00664,4.59236,0.01535,37261,63527,23.5,6,2048,0,134217728,134215680,2097152,0,67108864,65011712,1048576,1015808
L1opt,32,2,9,2.00674,0.00355,4.58503,0.01149,36957,63541,23.5,6,2048,0,134217728,134215680,2097152,0,67108864,65011712,1048576,1015808
L1opt,32,2,11,2.02269,0.00764,4.57235,0.00561,37175,63534,23.5,6,2048,0,134217728,134215680,2097152,0,67108864,65011712,1048576,1015808
L1opt,32,2,13,2.03307,0.00573,4.58072,0.00064,37029,63658,23.5,6,2048,0,134217728,134215680,2097152,0,67108864,65011712,1048576,1015808
L1opt,32,2,15,2.0469,0.0056,4.58788,0.00881,38013,63671,23.5,6,2048,0,134217728,134215680,2097152,0,67108864,65011712,1048576,1015808
L1opt,32,2,17,2.05284,0.00534,4.60357,0.03723,34635,59578,80.5,6,2048,0,134217728,134215680,2097152,0,67108864,65011712,1048576,1015808
L1opt,32,2,19,2.06487,0.00884,4.5676,0.00262,34129,59613,80.5,6,2048,0,134217728,134215680,2097152,0,67108864,65011712,1048576,1015808
L1opt,64,2,3,1.49172,0.0063,4.62655,0.01222,58792,88079,37.5,6,2048,0,134217728,134215680,1048576,0,67108864,65011712,1048576,1032192
L1opt,32,4,1,1.11954,0.00446,4.6123,0.00342,47966,78330,23.5,12,2048,0,134217728,134215680,1048576,0,33554432,32505856,1048576,1015808
L1opt,32,4,3,1.03177,0.0043,4.6214,0.00286,49380,78378,23.5,12,2048,0,134217728,134215680,1048576,0,33554432,32505856,1048576,1015808
L1opt,32,4,5,1.03968,0.00501,4.62294,0.00309,48346,78569,23.5,12,2048,0,134217728,134215680,1048576,0,33554432,32505856,1048576,1015808
L1opt,32,4,7,1.03479,0.0008,4.62392,0.00201,49584,78565,23.5,12,2048,0,134217728,134215680,1048576,0,33554432,32505856,1048576,1015808
L1opt,32,4,9,1.04222,0.01245,4.64955,0.01671,45485,70465,137.5,12,2048,0,134217728,134215680,1048576,0,33554432,32505856,1048576,1015808
L1opt,32,4,11,1.04507,0.00481,4.64013,0.00291,44405,70472,137.5,12,2048,0,134217728,134215680,1048576,0,33554432,32505856,1048576,1015808
L1opt,32,4,13,1.05703,0.00306,4.64025,0.0019,44687,70501,137.5,12,2048,0,134217728,134215680,1048576,0,33554432,32505856,1048576,1015808
L1opt,32,4,15,1.05541,0.00489,4.64507,0.00423,44575,70515,137.5,12,2048,0,134217728,134215680,1048576,0,33554432,32505856,1048576,1015808
L1opt,32,4,17,1.06742,0.00692,4.65231,0.00341,45462,70564,137.5,12,2048,0,134217728,134215680,1048576,0,33554432,32505856,1048576,1015808
L1opt,32,4,19,1.06816,0.00848,4.65568,0.02049,44028,70618,137.5,12,2048,0,134217728,134215680,1048576,0,33554432,32505856,1048576,1015808
L2blk,16,1,1,10.12938,0.00694,4.38199,0.00701,14586,26854,8,3,134217728,133693440,0,0,134217728,134209536,0,0,16777216,16252928
L2blk,16,1,3,4.76511,0.00845,4.40828,0.01112,15647,26807,8,3,134217728,133693440,0,0,134217728,134209536,0,0,16777216,16252928
L2blk,16,1,5,4.18009,0.00741,4.40313,0.00373,15669,26823,8,3,134217728,133693440,0,0,134217728,134209536,0,0,16777216,16252928
L2blk,16,1,7,4.16257,0.00503,4.40743,0.00277,15676,26838,8,3,134217728,133693440,0,0,134217728,134209536,0,0,16777216,16252928
L2blk,16,1,9,4.49193,0.00619,4.42003,0.01852,15676,26848,8,3,134217728,133693440,0,0,134217728,134209536,0,0,16777216,16252928
L2blk,16,1,11,4.80592,0.00537,4.42046,0.01869,15705,26891,8,3,134217728,133693440,0,0,134217728,134209536,0,0,16777216,16252928
L2blk,16,1,13,5.12722,0.00553,4.41748,0.01212,15727,26988,8,3,134217728,133693440,0,0,134217728,134209536,0,0,16777216,16252928
L2blk,16,1,15,5.43781,0.00616,4.41886,0.01663,15676,26992,8,3,134217728,133693440,0,0,134217728,134209536,0,0,16777216,16252928
L2blk,16,1,17,5.75552,0.00728,4.41356,0.00944,15706,27041,8,3,134217728,133693440,0,0,134217728,134209536,0,0,16777216,16252928
L2blk,16,1,19,6.10185,0.00503,4.41708,0.01241,15745,27033,8,3,134217728,133693440,0,0,134217728,134209536,0,0,16777216,16252928
L2blk,32,1,1,8.96442,0.00624,4.49138,0.01062,22841,42714,51,3,134217728,133693440,0,0,134217728,134209536,0,0,8388608,8257536
L2blk,32,1,3,3.42862,0.00538,4.51273,0.00257,24269,42728,51,3,134217728,133693440,0,0,134217728,134209536,0,0,8388608,8257536
